Material,Quantity,Frequency,Description,Location
0RF0042,103.0,0.10761154855643044,FANTA NAR PET1L C12,600-070-10
0RF0525,102.0,0.10761154855643044,RBLISS GBEER VNR20 C24,600-071-10
0AG0039,737.0,0.10498687664041995,"FONT D.OR NATURAL 1,5L PET 6U",600-072-10
0RF0214,189.0,0.10236220472440945,MONSTER AB. ZERO LATA50 C24,600-073-10
0RF1610,188.0,0.10236220472440945,FUZE TEA PEACH HIBISCUS PET50 C24,600-074-10
0RF0055,187.0,0.10236220472440945,NORDIC MIST TON LATA25 C24 ES0,600-076-10
0RF1647,138.0,0.10236220472440945,FUZE LSA PET1.5L C6,600-077-10
0LT0020,269.0,0.09711286089238845,CACAOLAT ORIGINAL 1L PET 6U,600-078-10
0AG0009,378.0,0.09448818897637795,VICHY CATALAN GAS 1L SR 12U,600-079-10
0AG0119,182.0,0.09448818897637795,FONT D.OR NATURAL 5L PET 4U,600-080-10
0AG0010,178.0,0.09448818897637795,VICHY CATALAN GAS 1L RET 12U,600-082-10
GPA1KB6,245.0,0.09186351706036745,GARRIGA S.PURO ARABICA BOLSA 1KG,600-083-10
0RF0151,94.0,0.09186351706036745,AQUARIUS ZER PET1.5L C6,600-084-10
0RF0250,81.0,0.09186351706036745,APPLETISER VNR275 C24,600-085-10
0AG0027,209.0,0.08923884514435695,VICHY CATALAN GAS 1/3 LATA 24U,600-086-10
0RF0236,190.0,0.08923884514435695,RBLISS SODA VNR20 C24,600-087-10
0RF0232,137.0,0.08661417322834646,RBLISS NAR VR20 C24 HT,600-089-10
0AM3989,246.0,0.08398950131233596,SABOR DEL SUR ACEITE DE OLIVA SUAVE 5L,600-091-10
0VE0037,162.0,0.08398950131233596,FAUSTINO VII TINTO 75CL 6U,600-092-10
0RF1111,68.0,0.08398950131233596,JACK AND COKE REG LATA33 C12,600-093-10
0VE0197,133.0,0.08136482939632546,MONTERIO BLANCO S.R. 75CL 12U,600-094-10
0RF0231,65.0,0.08136482939632546,RBLISS ARO BER VR20 C24,600-095-10
1PLV959,37.0,0.08136482939632546,VASO IRREVERENTE VERMUT 6U,600-096-10
VE12TSP,400.0,0.07874015748031496,AGUA VERI 1/2 TREKKING 100%R-PET CJ-24U.,600-097-10
CB13SRN,97.0,0.07874015748031496,CARLSBERG 1/3 SR CAJA 24U.,600-098-10
0RF0503,95.0,0.07874015748031496,COCACOLA ZER ZER BIB5L,600-099-10
ED14P6,76.0,0.07874015748031496,ESTRELLA DAMM 1/4 PACK SEMICERRADO 6U.,600-100-10
0VE0949,37.0,0.07874015748031496,AC COSTA DAS DORNAS 75CL 12U,600-101-10
UE112N,2114.0,0.07611548556430446,"JARRA EPOCA 0,5 L ED ",600-102-10
0VE0663,125.0,0.07611548556430446,FAUSTINO ART COLLECTION CRIANZA 75CL 6U,600-103-10
0AG0084,92.0,0.07611548556430446,SAN PELLEGRINO GAS 1L PET 6U,600-104-10
0RF0061,78.0,0.07611548556430446,POWERADE CITRUS CH PET50 C12,600-106-10
0RF0220,188.0,0.07349081364829396,MONSTER REHAB LEMON LATA50 C24,600-108-10
0RF0576,73.0,0.07349081364829396,RED BULL SUGAR FREE 25CL LATA 24U,600-110-10
0RF0292,33.0,0.07349081364829396,/-FANTA NARANJA VR237 24U,600-112-10
0RF0293,30.0,0.07349081364829396,/-FANTA LIMON VR237 24U,600-114-10
VE11SPC,221.0,0.07086614173228346,AGUA VERI 1/1 PET CAJA 12U. TREKKING,600-116-10
0AG0052,143.0,0.07086614173228346,VICHY CATALAN GAS 1/2 PET 24U,630-001-10
FTP154BF,44.0,0.07086614173228346,FEVERTREE PINK GRAPEFR.1/5 B-6 P4U P.HT,630-002-10
0RF1595,33.0,0.07086614173228346,AQUARIUS MEL ROJO LATA33 C24,630-003-10
GPT1KB6,201.0,0.06824146981627296,GARRIGA PURO ARABICA 1KG TUES.INTENSOB6U,630-004-10
0AG0030,166.0,0.06824146981627296,VILAS TURBON AGUA PET50 C24,630-005-10
0VE0041,120.0,0.06824146981627296,FAUSTINO CRIANZA TINTO 75CL 6U,630-006-10
0VE00464,59.0,0.06824146981627296,SOLAR DE ZUNIL ROSADO 75CL 6U,630-007-10
0AM1286,51.0,0.06824146981627296,BARGASOL OLI ALT OLEIC EXTRA LATA 25L,630-008-10
0AM1283,42.0,0.06824146981627296,BARGALLO OLI FRIT FRIT 25L,630-009-10
0RF0063,34.0,0.06824146981627296,BURN LATA25 C24,630-010-10
NTY32SP6,78.0,0.06561679790026247,NESTEA TE VERDE MARACUYA 3/2SR PET 6U.HT,630-011-10
0AG0105,68.0,0.06561679790026247,VICHY CATALAN GAS 1/2 SR 20U,630-012-10
VO13LT,52.0,0.06561679790026247,VOLL DAMM 1/3 LATA LC,630-013-10
0AG0031,668.0,0.06299212598425197,VILAS TURBON AGUA PET1L C6,630-014-10
0RF0106,189.0,0.06299212598425197,FANTA ZER NAR LATA33 C24,630-015-10
0LT0091,47.0,0.06299212598425197,LETONA SEMI ESP.HOST.1L VR 12U,630-016-10
0RF1356,44.0,0.06299212598425197,MONSTER ULTRA PEACHY KEEN LATA50 C24,630-017-10
0RF0210,39.0,0.06299212598425197,MONSTER ENERGY LATA553 C12,630-018-10
0RF0088,34.0,0.06299212598425197,/-SCHWEPPES TONICA LATA SLEEK 24U,630-019-10
UE115,1314.0,0.06036745406824147,VASO EPOCA 25 CL ED,630-020-10
0RA0040,89.0,0.06036745406824147,VINYES BON CEP SANGRIA BOX 15L+GRIFO,630-022-10
0RF0156,30.0,0.06036745406824147,BURN LATA50 C12,630-023-10
0AG0090,550.0,0.05774278215223097,FONT D.OR NATURAL 1/3 LATA 24U,630-024-10
0RF0423,26.0,0.05774278215223097,/-SPRITE VR20 24U,630-025-10
FTI14LTB,129.0,0.05511811023622047,FEVERTREE INDIAN TONIC 1/4 LATA BAND-24U,630-026-10
0VE1409,90.0,0.05511811023622047,ALLUE CAVA BRUT 75CL 6U,630-027-10
0RF0491,33.0,0.05511811023622047,SCHWEPPES LIMON 20CL SR 24U,630-028-10
0VE0542,30.0,0.05511811023622047,IRREVERENTE TINTO JOVEN 75CL 6U,630-029-10
0RF1623,27.0,0.05511811023622047,LIMCA PET50 C24,630-030-10
0ZU0117,25.0,0.05511811023622047,JUVER NECTAR NARANJA 20CL 24U,630-031-10
0RF0496,78.0,0.05249343832020997,AQUARIUS ZERO BIB5L,630-032-10
0RF0548,76.0,0.05249343832020997,SPRITE VNR20 P4 C6,630-033-10
0VE0403,52.0,0.05249343832020997,MARQUES VITORIA CRIANZA 75CL 6U,630-034-10
0RF0348,29.0,0.05249343832020997,MONSTER ULTRA PARADISE LATA50 C24,630-035-10
DM13P6,23.0,0.05249343832020997,DAURA MARZEN 1/3SR PACK CESTA ABIERTA 6U,630-036-10
0RF0807,117.0,0.049868766404199474,FANTA SANDÍA S/AZ PET50 C24,630-037-10
0RF0102,56.0,0.049868766404199474,AQUARIUS ZER LATA33 C24,630-038-10
0RF0165,47.0,0.049868766404199474,COCACOLA ZER ZER PET2L C6,630-039-10
0AG0023,41.0,0.049868766404199474,AQUABONA SINGULAR VR365 C20,630-040-10
0RF1098,33.0,0.049868766404199474,MONSTER HAMILTON ZERO LATA50 C24,630-041-10
0AG0015,146.0,0.047244094488188976,AQUABONA VR1L C12,630-042-10
FTP15B24,48.0,0.047244094488188976,FEVERTREE PINK GRAPEFRUIT. 1/5 BAND-24U,630-043-10
0VE2202,47.0,0.047244094488188976,TORRACOLLONS TINTO 75CL 6U,630-045-10
0VE0466,37.0,0.047244094488188976,NAIADA BLANCO 75CL 6U,630-046-10
GSE1KB6,172.0,0.04461942257217848,GARRIGA S.EXPRES NATURAL BOLSA 1KG,630-047-10
0VE1004,162.0,0.04461942257217848,CAMPILLO TINTO CRIANZA 75CL 6U,630-048-10
0AG0431,143.0,0.04461942257217848,MONTE PINOS NATURAL RING PULL 1L RET 12U,630-049-10
0RF0544,116.0,0.04461942257217848,FANTA LIM VNR20 P4 C6,630-050-10
0RF0122,59.0,0.04461942257217848,MONSTER ULTRA RED LATA50 C24,630-051-10
0RF0117,48.0,0.04461942257217848,COCACOLA LIG LATA33 C24,630-052-10
0RF1147,45.0,0.04461942257217848,RBLISS BIT ROS VNR20 C24,630-053-10
0RF0152,43.0,0.04461942257217848,AQUARIUS NAR ZER PET1.5L C6,630-054-10
